nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
Boston Bruins,1990,44,24,55.00%,,299,264,0.55
Buffalo Sabres,1990,31,30,38.80%,,292,278,14.0
Calgary Flames,1990,46,26,57.50%,,344,263,0.575
Chicago Blackhawks,1990,49,23,61.30%,,284,211,0.613
Detroit Red Wings,1990,34,38,42.50%,,273,298,-25.0
Edmonton Oilers,1990,37,37,46.30%,,272,272,0.0
Hartford Whalers,1990,31,38,38.80%,,238,276,-38.0
Los Angeles Kings,1990,46,24,57.50%,,340,254,0.575
Minnesota North Stars,1990,27,39,33.80%,,256,266,-10.0
Montreal Canadiens,1990,39,30,48.70%,,273,249,24.0
New Jersey Devils,1990,32,33,40.00%,,272,264,8.0
New York Islanders,1990,25,45,31.20%,,223,290,-67.0
New York Rangers,1990,36,31,45.00%,,297,265,32.0
Philadelphia Flyers,1990,33,37,41.20%,,252,267,-15.0
Pittsburgh Penguins,1990,41,33,51.20%,,342,305,0.512
Quebec Nordiques,1990,16,50,20.00%,,236,354,-118.0
St. Louis Blues,1990,47,22,58.80%,,310,250,0.588
Toronto Maple Leafs,1990,23,46,28.70%,,241,318,-77.0
Vancouver Canucks,1990,28,43,35.00%,,243,315,-72.0
Washington Capitals,1990,37,36,46.30%,,258,258,0.0
Winnipeg Jets,1990,26,43,32.50%,,260,288,-28.0
Boston Bruins,1991,36,32,45.00%,,270,275,-5.0
Buffalo Sabres,1991,31,37,38.80%,,289,299,-10.0
Calgary Flames,1991,31,37,38.80%,,296,305,-9.0
Chicago Blackhawks,1991,36,29,45.00%,,257,236,21.0
Detroit Red Wings,1991,43,25,53.70%,,320,256,0.537
Edmonton Oilers,1991,36,34,45.00%,,295,297,-2.0
Hartford Whalers,1991,26,41,32.50%,,247,283,-36.0
Los Angeles Kings,1991,35,31,43.80%,,287,296,-9.0
Minnesota North Stars,1991,32,42,40.00%,,246,278,-32.0
Montreal Canadiens,1991,41,28,51.20%,,267,207,0.512
New Jersey Devils,1991,38,31,47.50%,,289,259,30.0
New York Islanders,1991,34,35,42.50%,,291,299,-8.0
New York Rangers,1991,50,25,62.50%,,321,246,0.625
Philadelphia Flyers,1991,32,37,40.00%,,252,273,-21.0
Pittsburgh Penguins,1991,39,32,48.70%,,343,308,35.0
Quebec Nordiques,1991,20,48,25.00%,,255,318,-63.0
San Jose Sharks,1991,17,58,21.20%,,219,359,-140.0
St. Louis Blues,1991,36,33,45.00%,,279,266,13.0
Toronto Maple Leafs,1991,30,43,37.50%,,234,294,-60.0
Vancouver Canucks,1991,42,26,52.50%,,285,250,0.525
Washington Capitals,1991,45,27,56.20%,,330,275,0.562
Winnipeg Jets,1991,33,32,41.20%,,251,244,7.0
Boston Bruins,1992,51,26,60.70%,,332,268,0.607
Buffalo Sabres,1992,38,36,45.20%,,335,297,38.0
Calgary Flames,1992,43,30,51.20%,,322,282,0.512
Chicago Blackhawks,1992,47,25,56.00%,,279,230,0.56
Detroit Red Wings,1992,47,28,56.00%,,369,280,0.56
Edmonton Oilers,1992,26,50,31.00%,,242,337,-95.0
Hartford Whalers,1992,26,52,31.00%,,284,369,-85.0
Los Angeles Kings,1992,39,35,46.40%,,338,340,-2.0
Minnesota North Stars,1992,36,38,42.90%,,272,293,-21.0
Montreal Canadiens,1992,48,30,57.10%,,326,280,0.571
New Jersey Devils,1992,40,37,47.60%,,308,299,9.0
New York Islanders,1992,40,37,47.60%,,335,297,38.0
New York Rangers,1992,34,39,40.50%,,304,308,-4.0
Ottawa Senators,1992,10,70,11.90%,,202,395,-193.0
Philadelphia Flyers,1992,36,37,42.90%,,319,319,0.0
Pittsburgh Penguins,1992,56,21,66.70%,,367,268,0.667
Quebec Nordiques,1992,47,27,56.00%,,351,300,0.56
San Jose Sharks,1992,11,71,13.10%,,218,414,-196.0
St. Louis Blues,1992,37,36,44.00%,,282,278,4.0
Tampa Bay Lightning,1992,23,54,27.40%,,245,332,-87.0
Toronto Maple Leafs,1992,44,29,52.40%,,288,241,0.524
Vancouver Canucks,1992,46,29,54.80%,,346,278,0.548
Washington Capitals,1992,43,34,51.20%,,325,286,0.512
Winnipeg Jets,1992,40,37,47.60%,,322,320,2.0
Mighty Ducks of Anaheim,1993,33,46,39.30%,,229,251,-22.0
Boston Bruins,1993,42,29,50.00%,,289,252,0.5
