titulo;url;letra;views;composicao
Livin' On a Prayer;https://www.letras.mus.br/bon-jovi/4932/;(Once upon a time, not so long ago)Tommy used to work on the docksUnion's been on strike, he's down on his luckIt's tough, so toughGina works the diner all dayWorking for her man, she brings home her payFor love, for loveShe says: We've got to hold on to what we've gotIt doesn't make a difference if we make it or notWe've got each other and that's a lotFor love, we'll give it a shotWhoa, we're halfway thereOh-oh, living on a prayerTake my hand, we'll make it, I swearOh-oh, living on a prayerTommy's got his six string in hockNow he's holding in what he used to make it talkSo tough, it's toughGina dreams of running awayWhen she cries in the night, Tommy whispersBaby, it's okay, somedayWe've got to hold on to what we've gotIt doesn't make a difference if we make it or notWe've got each other and that's a lotFor love, we'll give it a shotWhoa, we're halfway thereOh-oh, living on a prayerTake my hand, we'll make it, I swearOh-oh, living on a prayerLiving on a prayerOoh, we've got to hold on, ready or notYou live for the fight when that's all that you've gotWhoa, we're halfway thereOh-oh, living on a prayerTake my hand and we'll make it, I swearOh-oh, living on a prayerWhoa, we're halfway thereOh-oh, living on a prayerTake my hand and we'll make it, I swearOh-oh, living on a prayerWhoa, we're halfway thereOh-oh, living on a prayerTake my hand;5.520.512;Desmond Child / Jon Bon Jovi / Richie Sambora
It's My Life;https://www.letras.mus.br/bon-jovi/4924/;This ain't a song for the broken-heartedNo silent prayer for faith-departedI ain't gonna be just a face in the crowdYou're gonna hear my voice when I shout it out loudIt's my life, it's now or neverI ain't gonna live foreverI just want to live while I'm alive(It's my life) my heart is like an open highwayLike Frankie said: I did it my wayI just wanna live while I'm aliveIt's my lifeThis is for the ones who stood their groundFor Tommy and Gina who never backed downTomorrow's getting harder, make no mistakeLuck ain't even lucky, got to make your owns breaksIt's my life, it's now or neverI ain't gonna live foreverI just want to live while I'm alive(It's my life) my heart is like an open highwayLike Frankie said: I did it my wayI just wanna live while I'm alive'Cause it's my lifeBetter stand tall when they're calling you outDon't bend, don't break, baby, don't back downIt's my life, it's now or neverI ain't gonna live foreverI just want to live while I'm alive(It's my life) my heart is like an open highwayLike Frankie said: I did it my wayI just wanna live while I'm aliveIt's my lifeIt's now or neverI ain't gonna live foreverI just want to live while I'm alive(It's my life) my heart is like an open highwayLike Frankie said: I did it my wayI just wanna live while I'm aliveIt's my life;4.321.430;Jon Bon Jovi / Max Martin / Richie Sambora
Always;https://www.letras.mus.br/bon-jovi/4923/;This Romeo is bleedingBut you can't see his bloodIt's nothing but some feelingsThat this old dog kicked upIt's been raining since you left meNow I'm drowning in the floodYou see I've always been a fighterBut without you, I give upI can't sing a love songLike the way it's meant to beWell, I guess I'm not that good anymoreBut, babe, that's just meYeah I will love you, babyAlwaysAnd I'll be there, forever and a dayAlwaysI'll be there till the stars don't shineTill the heavens burst and the words don't rhymeI know when I die, you'll be on my mindAnd I'll love you, alwaysNow your pictures that you left behindAre just memories of a different lifeSome that made us laughSome that made us cryOne that made you have to say good byeWhat I'd give to run my fingers through your hairTo touch your lips, to hold you nearWhen you say your prayers, try to understandI've made mistakes, I'm just a manWhen he holds you closeWhen he pulls you nearWhen he says the wordsYou've been needing to hearI wish I was him, 'cause those words are mineTo say to you till the end of time thatI will love you, babyAlwaysAnd I'll be there, forever and a dayAlwaysIf you told me to cry for you, I couldIf you told me to die for you, I wouldTake a look at my faceThere's no price I won't payTo say these words to youWell, there ain't no luck in this loaded diceBut, babe, if you give me just one more tryWe can pack up our old dreams and our old livesWe'll find a place where the Sun still shines andI will love you, babyAlwaysAnd I'll be there, forever and a dayAlwaysI'll be there till the stars don't shineTill the heavens burst and the words don't rhymeI know when I die, you'll be on my mindAnd I'll love you, alwaysAlwaysOh baby, don't you do me no wrongBaby, don't you do me no wrongOh baby, don't you do me no wrong, oh noOh, yeah, yeah, yeah, yeah;5.741.940;Jon Bon Jovi
Misunderstood;https://www.letras.mus.br/bon-jovi/64854/;Should I? Could I?Have said the wrong things right a thousand timesIf I could just rewind, I see it in my mindIf I could turn back time, you'd still be mineYou cried, I diedI should have shut my mouth, things headed southAs the words slipped off my tongue, they sounded dumbIf this old heart could talk, it'd say you're the oneI'm wasting time when I think about itI should have drove all nightI would have run all the lightsI was misunderstoodI stumbled like my wordsDid the best I couldDamn, misunderstoodCould I? Should I?Apologize for sleeping on the couch that nightStaying out too late with all my friendsYou found me passed out in the yard againYou cried, I triedTo stretch the truth, but didn't lieIt's not so bad when you think about itI should have drove all nightI would have run all the lightsI was misunderstoodI stumbled like my wordsDid the best I couldI'm hanging outside your doorI've been here beforeMisunderstoodI stumbled like my wordsDid the best I couldDamn, misunderstoodIntentions goodIt's you and I, just think about itI should have drove all nightI would have run all the lightsI was misunderstoodI stumbled like my wordsDid the best I could, misunderstoodI'm hanging outside your doorI've been here beforeMisunderstoodI stumbled like my wordsDid the best I couldDamn, misunderstoodIntentions good;1.984.152;Richie Sambora / Jon Bon Jovi / Andreas Carlsson / Desmond Child
Bed Of Roses;https://www.letras.mus.br/bon-jovi/4928/;Sitting here, wasted and woundedAt this old pianoTrying hard to capture the momentThis morning, I don't know'Cause a bottle of vodka is still lodged in my headAnd some blonde gave me nightmaresI think that she's still in my bedAs I dream about movies they won't make of me when I'm deadWith an ironclad fistI wake up and French kiss the morningWhile some marching band keeps its own beat in my headWhile we're talkingAbout all of the things that I long to believeAbout love, the truth, what you mean to meAnd the truth isBaby, you're all that I needI wanna lay you down in a bed of rosesFor tonight I sleep on a bed of nailsOh, I wanna be just as close as the Holy Ghost isAnd lay you down on a bed of rosesWell, I'm so far awayEach step that I take is on my way homeA king's ransom in dimesI'd given each night just to see through this payphoneStill I run out of time or it's hard to get throughTill the bird on the wire flies me back to youI'll just close my eyes and whisperBaby, blind love is trueI wanna lay you down in a bed of rosesFor tonight I sleep on a bed of nailsOh, I wanna be just as close as the Holy Ghost isAnd lay you down on a bed of rosesWell, this hotel bar's hangover, whiskey's gone dryThe barkeeper's wig's crookedAnd she's giving me the eyeI might have said: YeahBut I laughed so hard I think I diedOh, yeahNow, as you close your eyesKnow I'll be thinking about youWhile my mistress, she calls meTo stand in her spotlight againTonight I won't be aloneBut you know that don't mean I'm not lonelyI've got nothing to proveFor it's you that I'd die to defendI wanna lay you down in a bed of rosesFor tonight I sleep on a bed of nailsOh, I wanna be just as close as the Holy Ghost isAnd lay you downI wanna lay you down in a bed of rosesFor tonight I sleep on a bed of nailsI wanna be just as close as the Holy Ghost isAnd lay you down on a bed of roses;1.637.829;Jon Bon Jovi
I'll Be There For You;https://www.letras.mus.br/bon-jovi/4931/;I guess this time you're really leavingI heard your suitcase say goodbyeWell, as my broken heart lies bleedingYou say: True love, it's suicideYou say you've cried a thousand riversAnd now you're swimming for the shoreYou left me drowning in my tearsAnd you won't save me anymoreI'm praying to God you give me one more chance, girlI'll be there for youThese five words I swear to youWhen you breathe, I wanna be the air for youI'll be there for youI'd live and I'd die for youI'd steal the Sun from the sky for youWords can't say what love can doI'll be there for youI know you know we've had some good timesNow they have their own hiding placeI can promise you tomorrowBut I can't buy back yesterdayAnd, baby, you know my hands are dirty (oh, woman, you know my hands are dirty)But I wanted to be your valentineI'll be the water when you get thirsty, babyWhen you get drunk, I'll be the wine, ohI'll be there for youThese five words I swear to youWhen you breathe, I wanna be the air for youI'll be there for youI'd live and I'd die for youI'd steal the Sun from the sky for youWords can't say what love can doI'll be there for youI wasn't there when you were happy (I wasn't there to make you happy)And I wasn't there when you were down, downI didn't mean to miss your birthday, babyI wish I'd seen you blow those candles outI'll be there for youThese five words I swear to youWhen you breathe, I wanna be the air for youI'll be there for youI'd live and I'd die for youI'd steal the Sun from the sky for youWords can't say what love can doI'll be there for youI'll be there for youThese five words I swear to youWhen you breathe, I wanna be the air for youI'll be there for youI'd live and I'd die for youI'd steal the Sun from the sky for youWords can't say what love can doI'll be there for youWhoa, whoa, whoa, whoa, whoa-oh;1.998.460;Jon Bon Jovi / Richie Sambora
You Give Love A Bad Name;https://www.letras.mus.br/bon-jovi/4964/;Shot through the heart, and you're to blameDarling, you give love a bad nameAn angel's smile is what you sellYou promise me heaven, then put me through hellChains of love got a hold on meWhen passion's a prison, you can't break freeOh, you're a loaded gun, yeahOh, there's nowhere to runNo one can save meThe damage is doneShot through the heart, and you're to blameYou give love a bad name (bad name)I play my part and you play your gameYou give love a bad name (bad name)Hey, you give love a bad namePaint your smile on your lipsBlood-red nails on your fingertipsA school boy's dream, you act so shyYour very first kiss was your first kiss goodbyeOh, you're a loaded gunOh, there's nowhere to runNo one can save meThe damage is doneShot through the heart, and you're to blameYou give love a bad name (bad name)I play my part and you play your gameYou give love a bad name (bad name)You give loveOh, shot through the heart, and you're to blameYou give love a bad nameI play my part and you play your gameYou give love a bad name (bad name)Shot through the heart, and you're to blameYou give love a bad name (bad name)I play my part and you play your gameYou give love a bad name (bad name)You give love (woah, oh-oh-oh)You give love (woah, oh-oh-oh), (bad name)You give love (woah, oh-oh-oh)You give love (woah, oh-oh-oh), (bad name)You give love (woah, oh-oh-oh)You give love (woah, oh-oh-oh), (bad name)You give love (woah, oh-oh-oh);1.545.663;Desmond Child / Richie Sambora / Jon Bon Jovi
These Days;https://www.letras.mus.br/bon-jovi/4939/;I was walking around, just a face in the crowdTrying to keep myself out of the rainSaw a vagabond king wear a styrofoam crownWondered if I might end up the sameThere's a man out on the corner, singing old songs about changeEverybody got their cross to bare, these daysShe came looking for some shelter with a suitcase full of dreamsTo a motel room on the boulevardI guess she's trying to be James DeanShe's seen all the disciples and all the wannabesNo one wants to be themselves these daysStill there's nothing to hold on to but these daysThese days the stars seem out of reachThese days there ain't a ladder on the streetsThese days are fast, nothing lasts in this graceless ageThere ain't nobody left but us these daysJimmy shoes busted both his legs, trying to learn to flyFrom a second story window, he just jumped and closed his eyesHis mamma said he was crazyHe said: Mamma, I've got to tryDon't you know that all my heroes diedAnd I guess I'd rather die than fade awayThese days the stars seem out of reachBut these days, there ain't a ladder on the streetsThese days are fast, nothing lasts, it's a graceless ageEven innocence has caught the midnight trainAnd there ain't nobody left but us these daysI know Rome's still burningThough the times have changedThis world keeps turning 'round and 'round and 'round and 'roundThese daysThese days the stars seem out of reachBut these days there ain't a ladder on the streetsThese days are fast, nothing lastsThere ain't no time to wasteThere ain't nobody left to take the blameThere ain't nobody left but us these daysAin't nobody left but us these days;646.137;Jon Bon Jovi / Richie Sambora
Wanted Dead Or Alive;https://www.letras.mus.br/bon-jovi/4972/;It's all the sameOnly the names will changeEveryday it seems we're wasting awayAnother place where the faces are so coldI'd drive all night just to get back homeI'm a cowboyOn a steel horse I rideI'm wanted dead or aliveWanted dead or aliveSometimes I sleepSometimes is not for daysAnd the people I meetAlways go their separate waysSometimes you tell the dayBy the bottle that you drinkAnd times when you're aloneAll you do is thinkI'm a cowboyOn a steel horse I rideI'm wanted (wanted) dead or aliveWanted (wanted) dead or aliveOh, and I ride!Ooh, I'm a cowboyOn a steel horse I rideI'm wanted (wanted) dead or aliveAnd I walk these streetsA loaded six string on my backI play for keeps'Cause I might not make it backI've been everywhere (oh, yeah)Still, I'm standing tallI've seen a million facesAnd I've rocked them all'Cause I'm a cowboyOn a steel horse I rideI'm wanted (wanted) dead or alive;772.074;Jon Bon Jovi / Richie Sambora
Never Say Goodbye;https://www.letras.mus.br/bon-jovi/4933/;As I sit in this smokey roomThe night about to endI pass my time with strangersBut this bottle's my only friendRemember when we used to parkOn Butler Street, out in the dark?Remember when we lost the keys?And you lost more than that in my backseat, babyRemember how we used to talk about busting out?We'd break their heartsTogether foreverNever say goodbye, never say goodbyeYou and me and my old friendsHoping it would never endSay goodbye, never say goodbyeHoldin' on, we've gotta tryHoldin' on to never say goodbyeRemember days of skipping schoolRacing cars and being cool?With a six-pack and the radioWe didn't need no place to goRemember at the prom that night?You and me, we had a fightBut the band, they played our favorite songAnd I held you in my arms so strongWe danced so closeWe danced so slowAnd I swore I'd never let you goTogether foreverNever say goodbye, never say goodbyeYou and me and my old friendsHoping it would never endSay goodbye, never say goodbyeHoldin' on, we've gotta tryHoldin' on to never say goodbyeOoh, I guess you'd say we used to talkAbout busting outWe'd break their heartsTogether foreverNever say goodbye, never say goodbyeYou and me and my old friendsHoping it would never endSay goodbye, never say goodbyeHoldin' on, we've gotta tryHoldin' on to never say goodbye;580.969;Jon Bon Jovi / Richie Sambora
