titulo;url;letra;views;composicao;extracted_at
Oceano;https://www.letras.mus.br/djavan/11337/;Assim que o dia amanheceu láNo mar alto da paixãoDava pra ver o tempo ruirCadê você? Que solidão!Esquecera de mimEnfim, de tudo o que há na terraNão há nada em lugar nenhumQue vá crescer sem você chegarLonge de ti, tudo parouNinguém sabe o que eu sofriAmar é um deserto e seus temoresVida que vai na sela dessas doresNão sabe voltar, me dá teu calorVem me fazer feliz, porque eu te amoVocê deságua em mim, e eu, oceanoE esqueço que amar é quase uma dorSó sei viver se for por vocêEnfim, de tudo o que há na terraNão há nada em lugar nenhumQue vá crescer sem você chegarLonge de ti, tudo parouNinguém sabe o que eu sofriAmar é um deserto e seus temoresVida que vai na sela dessas doresNão sabe voltar, me dá teu calorVem me fazer feliz, porque eu te amoVocê deságua em mim, e eu, oceanoE esqueço que amar é quase uma dorSó sei viver se for por você;3.228.462;Djavan;2025-09-07 12:33:05
Um Amor Puro;https://www.letras.mus.br/djavan/11341/;O que há dentro do meu coraçãoEu tenho guardado pra te darE todas as horas que o tempo tem pra me concederSão tuas, até morrerE a tua história, eu não seiMas me diga só o que for bomUm amor tão puro que ainda nem sabe a força que temÉ teu e de mais ninguémTe adoro em tudo, tudo, tudoQuero mais que tudo, tudo, tudoTe amar sem limites, viver uma grande históriaTe adoro em tudo, tudo, tudoQuero mais que tudo, tudo, tudoTe amar sem limites, viver uma grande históriaAqui ou noutro lugarQue pode ser feio ou bonitoSe nós estivermos juntosHaverá um céu azul, ohUm amor puroNão sabe a força que temMeu amor, eu juroSer teu e de mais ninguémUm amor puroO que há dentro do meu coraçãoEu tenho guardado pra te darE todas as horas que o tempo tem pra me concederSão tuas, até morrerE a tua história, eu não seiMas me diga só o que for bomUm amor tão puro que ainda nem sabe a força que temÉ teu e de mais ninguémTe adoro em tudo, tudo, tudoQuero mais que tudo, tudo, tudoTe amar sem limites, viver uma grande históriaTe adoro em tudo, tudo, tudoQuero mais que tudo, tudo, tudoTe amar sem limites, viver uma grande históriaTe adoro em tudo, tudo, tudoQuero mais que tudoTe amar sem limites, viver uma grande históriaOhTe amar sem limites, viver uma grande históriaTe adoro em tudo, tudo, tudoQuero mais que tudo, tudo, tudoTe amar sem limites, viver uma grande história;3.551.028;Djavan;2025-09-07 12:33:06
Eu Te Devoro;https://www.letras.mus.br/djavan/45523/;Teus sinais me confundem da cabeça aos pésMas por dentro eu te devoroTeu olhar não me diz exato quem tu ésMesmo assim eu te devoroTe devoraria a qualquer preçoPorque te ignoro, ou te conheçoQuando chove, ou quando faz frioNoutro plano, te devoraria tal CaetanoÀ Leonardo DiCaprioÉ um milagreTudo que Deus criou pensando em vocêFez a Via Láctea, fez os dinossaurosSem pensar em nada, fez a minha vidaE te deuSem contar os dias que me faz morrerSem saber de ti, jogado à solidãoMas se quer saber se eu quero outra vidaNão, não!Teus sinais me confundem da cabeça aos pésMas por dentro eu te devoroTeu olhar não me diz exato quem tu ésMesmo assim eu te devoroTe devoraria a qualquer preçoPorque te ignoro, ou te conheçoQuando chove, ou quando faz frioNoutro plano, te devoraria tal CaetanoÀ Leonardo DiCaprioÉ um milagreTudo que Deus criou pensando em vocêFez a Via Láctea, fez os dinossaurosSem pensar em nada, fez a minha vidaE te deuSem contar os dias que me faz morrerSem saber de ti, jogado à solidãoMas se quer saber se eu quero outra vidaNão, não!Eu quero mesmo é viver pra esperar, esperarDevorar vocêEu quero mesmo é viver pra esperar, esperarDevorar vocêViver, viver pra esperar vocêQuero viver pra esperar vocêQuero esperar você;3.970.348;Djavan;2025-09-07 12:33:07
Se...;https://www.letras.mus.br/djavan/69400/;Você disse que não sabe se nãoMas também não tem certeza que simQuer saber?Quando é assim, deixa vir do coraçãoVocê sabe que eu só penso em vocêVocê diz que vive pensando em mimPode ser, se é assimVocê tem que largar a mão do nãoSoltar essa louca, arder de paixãoNão há como doer pra decidirSó dizer sim ou nãoMas você adora um seEu levo a sério, mas você disfarçaVocê me diz à beça e eu nessa de horrorE me remete ao frio que vem lá do sulInsiste em zero a zero, e eu quero um a umSei lá o que te dá, não quer meu calorSão Jorge, por favor, me empresta o dragãoMais fácil aprender japonês em braileDo que você decidir se dá ou nãoVocê disse que não sabe se nãoMas também não tem certeza que simQuer saber?Quando é assim, deixa vir do coraçãoVocê sabe que eu só penso em vocêVocê diz que vive pensando em mimPode ser, se é assimVocê tem que largar a mão do nãoSoltar essa louca, arder de paixãoNão há como doer pra decidirSó dizer sim ou nãoMas você adora um seEu levo a sério, mas você disfarçaVocê me diz à beça e eu nessa de horrorE me remete ao frio que vem lá do sulInsiste em zero a zero, e eu quero um a umSei lá o que te dá, não quer meu calorSão Jorge, por favor, me empresta o dragãoMais fácil aprender japonês em braileDo que você decidir se dá ou não;4.640.269;Djavan;2025-09-07 12:33:07
Sina;https://www.letras.mus.br/djavan/45550/;Pai e mãe, ouro de minaCoração, desejo e sinaTudo mais, pura rotina, jazzTocarei seu nome pra poder falar de amorMinha princesa, art-nouveau da naturezaTudo o mais, pura beleza, jazzA luz de um grande prazerÉ irremediável neonQuando o grito do prazerAçoitar o ar, réveillonO luar, estrela-do-marO Sol e o domQuiçá, um dia, a fúria desse frontVirá lapidar o sonho até gerar o somComo querer caetanear o que há de bomO luar, estrela-do-marO Sol e o domQuiçá, um dia, a fúria desse frontVirá lapidar o sonho até gerar o somComo querer caetanear o que há de bomYeah, yeah, yeahPai e mãe, ouro de minaCoração, desejo e sinaTudo o mais, pura rotina, jazzTocarei seu nome pra poder falar de amorMinha princesa, art-nouveau da naturezaTudo o mais, pura beleza, jazzA luz de um grande prazerÉ irremediável neonQuando o grito do prazerAçoitar o ar, réveillonO luar, estrela-do-marO Sol e o domQuiçá, um dia, a fúria desse frontVirá lapidar o sonho até gerar o somComo querer caetanear o que há de bomO luar, estrela do marO Sol e o domQuiçá, um dia, a fúria desse frontVirá lapidar o sonho até gerar o somComo querer caetanear o que há de bomYeah, yeah, yeahYeah, yeah, yeahYeahYeah;2.347.759;Djavan;2025-09-07 12:33:08
Samurai (part. Stevie Wonder);https://www.letras.mus.br/djavan/11342/;Ai, quanto quererCabe em meu coraçãoAi, me faz sofrerFaz que me mata e se não mata, fereVai, sem me dizerNa casa da paixãoSai quando bem querTraz uma praga e me afaga a peleCrescei, luarPra iluminar as trevas fundas da paixãoEu quis lutar contra o poder do amorCaí nos pés do vencedorPara ser o serviçal de um samuraiMas eu tô tão feliz!Dizem que o amor atraiYeah, yeahAi, quanto quererCabe em meu coraçãoAi, me faz sofrerFaz que me mata e se não mata, fereVai, sem me dizerNa casa da paixãoSai quando bem querTraz uma praga e me afaga a peleCrescei, luarPra iluminar as trevas fundas da paixãoEu quis lutar contra o poder do amorCaí nos pés do vencedorPara ser o serviçal de um samuraiMas eu tô tão feliz!Dizem que o amor atraiOh, yeah, yeah, yeahOh, yeahYeah!;1.183.997;Djavan;2025-09-07 12:33:08
Flor de Lis;https://www.letras.mus.br/djavan/45527/;Valei-me, Deus, é o fim do nosso amorPerdoa, por favorEu sei que o erro aconteceuMas não sei o que fez tudo mudar de vezOnde foi que eu errei?Eu só sei que amei, que ameiQue amei, que ameiSerá talvez que minha ilusão foi dar meu coraçãoCom toda força pra essa moça me fazer feliz?E o destino não quis me ver como raizDe uma flor de lisE foi assim que eu vi nosso amor na poeiraPoeiraMorto na beleza fria de MariaE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceuE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceuValei-me, Deus, é o fim do nosso amorPerdoa, por favorEu sei que o erro aconteceuMas não sei o que fez tudo mudar de vezOnde foi que eu errei?Eu só sei que amei, que ameiQue amei, que ameiSerá talvez que minha ilusão foi dar meu coraçãoCom toda força pra essa moça me fazer feliz?E o destino não quis me ver como raizDe uma flor de lisE foi assim que eu vi nosso amor na poeiraPoeiraMorto na beleza fria de MariaE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceuE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceuE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceuE o meu jardim da vida ressecou, morreuDo pé que brotou Maria, nem margarida nasceu;1.832.290;Djavan;2025-09-07 12:33:09
Vive;https://www.letras.mus.br/djavan/vive/;É inútil chorarNoites enveredarRuir por nada assimMinha vida é suaComo o marinheiro do marSofrer, não há por queDesencana, meu amorTudo seu é muita dorViveDeixa o tempo resolverO que tem que acontecerLivreTanto que eu sonheiNos amar a pleno vaporTanto que eu quisFazê-la estrelaDa sagração de um ser felizDesinflama, meu amorDo seu jeito é muita dorViveDeixa o tempo resolverSe tiver que acontecerViveDesencana, meu amorTudo seu é muita dorViveDeixa o tempo resolverO que tem que acontecerLivreTanto que eu sonheiNos amar a pleno vaporTanto que eu quisFazê-la estrelaDa sagração de um ser felizDesinflama, meu amorDo seu jeito é muita dorViveDeixa o tempo resolverSe tiver que acontecerViveDesencana, meu amorTudo seu é muita dorViveDeixa o tempo resolverO que tem que acontecerLivre;88.297;Djavan;2025-09-07 12:33:09
Nem Um Dia;https://www.letras.mus.br/djavan/45538/;Um dia frioUm bom lugar pra ler um livroE o pensamento lá em vocêEu, sem você, não vivoUm dia tristeToda fragilidade incideE o pensamento lá em vocêE tudo me divideUm dia frioUm bom lugar pra ler um livroE o pensamento lá em vocêEu, sem você, não vivoUm dia tristeToda fragilidade incideE o pensamento lá em vocêE tudo me divideLonge da felicidade e todas as suas luzesTe desejo como ao arMais que tudoÉs manhã na natureza das floresMesmo por toda riqueza dos sheiks árabesNão te esquecerei um dia, nem um diaEspero com a força do pensamentoRecriar a luz que me trará vocêE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores grisE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores grisUm dia frioUm bom lugar pra ler um livroE o pensamento lá em vocêEu, sem você, não vivoUm dia tristeToda fragilidade incideE o pensamento lá em vocêE tudo me divideMesmo por toda riqueza dos sheiks árabesNão te esquecerei um dia, nem um diaEspero com a força do pensamentoRecriar a luz que me trará vocêE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores grisE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores grisE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores grisE tudo nascerá mais beloO verde faz do azul com o amareloO elo com todas as coresPra enfeitar amores gris;3.186.649;Djavan;2025-09-07 12:33:09
Azul;https://www.letras.mus.br/djavan/45508/;Eu não sei se vem de DeusDo céu ficar azulOu virá dos olhos teus?Essa cor que azuleja o diaSe acaso anoitecer e o céu perder o azulEntre o mar e o entardecerAlga marinha, vá na maresiaBuscar ali um cheiro de azulEssa cor não sai de mimBate e finca pé a sangue de reiAté o Sol nascer amarelinhoQueimando mansinhoCedinho, cedinho (cedinho)Corre e vá dizer pro meu benzinhoUm dizer assim: O amor é azulzinhoAté o Sol nascer amarelinhoQueimando mansinhoCedinho, cedinho cedinhoCorre e vá dizer pro meu benzinhoUm dizer assim: O amor é azulzinho;574.952;Djavan;2025-09-07 12:33:10
