titulo;url;letra;views;composicao
august;https://www.letras.mus.br/taylor-swift/august/;Salt air and the rust on your doorI never needed anything moreWhispers of: Are you sure?Never have I ever beforeBut I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mineYour back beneath the SunWishing I could write my name on itWill you call when you're back at school?I remember thinking I had youBut I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mineBack when we were still changing for the betterWanting was enoughFor me, it was enoughTo live for the hope of it allCancel plans just in case you'd callAnd say: Meet me behind the mallSo much for summer love and saying us'Cause you weren't mine to loseYou weren't mine to lose, ohBut I can see us lost in the memoryAugust slipped away into a moment in time'Cause it was never mineAnd I can see us twisted in bedsheetsAugust sipped away like a bottle of wine'Cause you were never mine'Cause you were never mineNever mineBut do you remember?Remember when I pulled up and said: Get in the carAnd then canceled my plans just in case you'd call?Back when I was livin' for the hope of it all, for the hope of it allMeet me behind the mall(Remember when I pulled up and said: Get in the car)(And then canceled my plans just in case you'd call?)(Back when I was livin' for the hope of it all, for the hope of it all)(Meet me behind the mall)Remember when I pulled up and said: Get in the carAnd then canceled my plans just in case you'd call?Back when I was livin' for the hope of it all (for the hope of it all)For the hope of it all, for the hope of it all(For the hope of it all, for the hope of it all);2.306.276;Taylor Swift / Jack Antonoff
cardigan;https://www.letras.mus.br/taylor-swift/cardigan/;Vintage tee, brand-new phoneHigh heels on cobblestonesWhen you are young, they assume you know nothingSequin smile, black lipstickSensual politicsWhen you are young, they assume you know nothingBut I knew youDancin' in your Levi'sDrunk under a streetlight, II knew youHand under my sweatshirtBaby, kiss it better, IAnd when I felt like I was an old cardiganUnder someone's bedYou put me on and said I was your favoriteA friend to all is a friend to noneChase two girls, lose the oneWhen you are young, they assume you know nothingBut I knew youPlaying hide-and-seek andGiving me your weekends, II knew youYour heartbeat on the High LineOnce in twenty lifetimes, IAnd when I felt like I was an old cardiganUnder someone's bedYou put me on and said I was your favoriteTo kiss in cars and downtown barsWas all we neededYou drew stars around my scarsBut now I'm bleedin''Cause I knew youSteppin' on the last trainMarked me like a bloodstain, II knew youTried to change the endingPeter losing Wendy, II knew youLeavin' like a fatherRunning like water, IAnd when you are young, they assume you know nothingBut I knew you'd linger like a tattoo kissI knew you'd haunt all of my what-ifsThe smell of smoke would hang around this long'Cause I knew everything when I was youngI knew I'd curse you for the longest timeChasin' shadows in the grocery lineI knew you'd miss me once the thrill expiredAnd you'd be standin' in my front porch lightAnd I knew you'd come back to meYou'd come back to meAnd you'd come back to meAnd you'd come backAnd when I felt like I was an old cardiganUnder someone's bedYou put me on and said I was your favorite;2.404.561;Aaron Dessner / Taylor Swift
Daylight;https://www.letras.mus.br/taylor-swift/daylight/;My love was as cruel as the cities I lived inEveryone looked worse in the lightThere are so many lines that I've crossed unforgivenI'll tell you the truth, but never goodbyeI don't wanna look at anything else now that I saw youI don't wanna think of anything else now that I thought of youI've been sleeping so long in a twenty-year dark nightAnd now, I see daylightI only see daylightLuck of the draw only draws the unluckyAnd so I became the butt of the jokeI wounded the good and I trusted the wickedClearing the air, I breathed in the smokeMaybe you ran with the wolves and refused to settle downMaybe I've stormed out of every single room in this townThrew out our cloaks and our daggers because it's morning nowIt's brighter now, nowI don't wanna look at anything else now that I saw you(I can never look away)I don't wanna think of anything else now that I thought of you(Things will never be the same)I've been sleeping so long in a twenty-year dark night(Now, I'm wide awake)And now, I see daylight (daylight), I only see daylight (daylight)I only see daylight, daylight, daylight, daylightI only see daylight, daylight, daylight, daylightAnd I can still see it all (in my mind)All of you, all of me (intertwined)I once believed love would be (black and white)But it's golden (golden)And I can still see it all (in my head)Back and forth from New York (sneaking in your bed)I once believed love would be (burning red)But it's goldenLike daylight, like daylightLike daylight, daylightI don't wanna look at anything else now that I saw you(I can never look away)And I don't wanna think of anything else now that I thought of you(Things will never be the same)I've been sleeping so long in a twenty year dark night(Now, I'm wide awake)And now, I see daylight (I see daylight), I only see daylight (ah)I only see daylight, daylight, daylight, daylightI only see daylight, daylight, daylight, daylight (aah)I only see daylight, daylight, daylight, daylight (and I can still see it all)(Back and forth from New York)I only see daylight, daylight, daylight, daylight(I once believed love would be burning red)Like daylightIt's goldenLike daylightYou gotta step into the daylight and let it goJust let it go, let it goI wanna be defined by the things that I loveNot the things I hateNot the things that I'm afraid of, I'm afraid ofNot the things that haunt me in the middle of the night, II just think thatYou are what you love;1.382.992;Taylor Swift
Love Story;https://www.letras.mus.br/taylor-swift/1332481/;We were both young when I first saw youI close my eyes and the flashback startsI'm standing thereOn a balcony in summer airSee the lights, see the party, the ball gownsSee you make your way through the crowdAnd say: HelloLittle did I knowThat you were Romeo, you were throwing pebblesAnd my daddy said: Stay away from JulietAnd I was crying on the staircaseBegging you: Please, don't goAnd I said: Romeo, take me somewhere we can be aloneI'll be waiting, all there's left to do is runYou'll be the prince and I'll be the princessIt's a love story, baby, just say yesSo I sneak out to the garden to see youWe keep quiet 'cause we're dead if they knewSo close your eyesEscape this town for a little while, uh, oh'Cause you were Romeo, I was a scarlet letterAnd my daddy said: Stay away from JulietBut you were everything to meI was begging you: Please, don't goAnd I said: Romeo, take me somewhere we can be aloneI'll be waiting, all there's left to do is runYou'll be the prince and I'll be the princessIt's a love story, baby, just say yesRomeo, save me, they're trying to tell me how to feelThis love is difficult, but it's realDon't be afraid, we'll make it out of this messIt's a love story, baby, just say yesOh, ohI got tired of waitingWondering if you were ever coming aroundMy faith in you was fadingWhen I met you on the outskirts of townAnd I said: Romeo, save me, I've been feeling so aloneI keep waiting for you, but you never comeIs this in my head? I don't know what to thinkHe knelt to the ground and pulled out a ringAnd said: Marry me, Juliet, you'll never have to be aloneI love you and that's all I really knowI talked to your dad, go pick out a white dressIt's a love story, baby, just say yesOh, oh, ohOh, oh, oh, oh'Cause we were both young when I first saw you;4.263.685;Taylor Swift
Red;https://www.letras.mus.br/taylor-swift/red/;Loving him is like driving a new MaseratiDown a dead end streetFaster than the wind, passionate as sinEnding so suddenlyLoving him is like trying to change your mindOnce you're already flying through the free fallLike the colours in autumn, so brightJust before they lose it allLosing him was blue, like I'd never knownMissing him was dark gray, all aloneForgetting him was like trying to know somebody you never metBut loving him was red (red, red, red, red)Loving him was red (red, red, red, red)Touching him was like realizing all you ever wantedWas right there in front of youMemorizing him was as easy as knowing all the wordsTo your old favorite songFighting with him was like trying to solve a crosswordAnd realizing there's no right answerRegretting him was like wishing you'd never found outThat love could be that strongLosing him was blue, like I'd never knownMissing him was dark gray, all aloneForgetting him was like trying to know somebody you never metBut loving him was red (red, red)Oh, red (red, red)Burning red (red, red, red, red)Remembering him comes in flashbacks and echoesTell myself it's time now, gotta let goBut moving on from him is impossibleWhen I still see it all in my headIn burning redBurning, it was redOh, losing him was blue, like I'd never knownMissing him was dark gray, all aloneForgetting him was like trying to know somebody you never met'Cause loving him was red (red, red)Yeah, yeah, red (red, red)Oh, burning red (red, red, red, red)And that's why he's spinning 'round in my headComes back to me burning red (red, red)Yeah, yeah (red, red)His love was like driving a new MaseratiDown a dead end street;1.836.714;Taylor Swift
The Prophecy;https://www.letras.mus.br/taylor-swift/the-prophecy/;Hand on the throttle, thought I caught lightning in a bottleOh, but it's gone againAnd it was written, I got cursed like Eve got bittenOh, was it punishment?Pad around when I get home, I guess a lesser woman would've lost hopeA greater woman wouldn't beg, but I looked to the sky and saidPlease, I've been on my knees, change the prophecyDon't want money, just someone who wants my companyLet it once be me, who do I have to speak toAbout if they can redo the prophecy?Cards on thе table, mine play out like fools in a fablеOh, it was sinking in (sinking in) (aah)Slow is the quicksand, poison blood from the wound of the pricked handOh, still I dream of himPlease, I've been on my knees, change the prophecyDon't want money, just someone who wants my companyLet it once be me, who do I have to speak toAbout if they can redo the prophecy?And I sound like an infant, feelin' like the very last drops of an ink penA greater woman stays cool, but I howl like a wolf at the MoonAnd I look unstable, gathered with a coven 'round a sorceress' tableA greater woman has faith, but even statues crumble if they're made to waitI'm so afraid I sealed my fate, no sign of soulmatesI'm just a paperweight in shades of greigeSpendin' my last coin so someone will tell meIt'll be okayOoh, oohOoh, oohPlease, I've been on my knees, change the prophecyDon't want money, just someone who wants my companyLet it once be me, who do I have to speak toAbout if they can redo the prophecy?Who do I have to speak to to change the prophecy?Hand on the throttle, thought I caught lightning in a bottleOh, but it's gone againPad around when I get home, I guess a lesser woman would've lost hopeA greater woman wouldn't beg, but I looked to the sky and saidPlease;329.686;Aaron Dessner / Taylor Swift
Lover;https://www.letras.mus.br/taylor-swift/lover/;We could leave the Christmas lights up till JanuaryThis is our place, we make the rulesAnd there's a dazzling haze, a mysterious way about you, dearHave I known you 20 seconds or 20 years?Can I go where you go?Can we always be this close, forever and ever?And ah, take me out, and take me homeYou're my, my, my, myLoverWe could let our friends crash in the living roomThis is our place, we make the callAnd I'm highly suspicious that everyone who sees you wants youI've loved you three summers now, honey, but I want 'em allCan I go where you go?Can we always be this close, forever and ever?And ah, take me out, and take me home (forever and ever)You're my, my, my, myLoverLadies and gentlemen, will you, please, stand?With every guitar string scar on my handI take this magnetic force of a man to be my loverMy heart's been borrowed and yours has been blueAll's well that ends well to end up with youSwear to be overdramatic and true to my loverAnd you'll save all your dirtiest jokes for meAnd at every table, I'll save you a seat, loverCan I go where you go?Can we always be this close, forever and ever?And ah, take me out, and take me home (forever and ever)You're my, my, my, myOh, you're my, my, my, myDarling, you're my, my, my, myLover;2.851.721;Taylor Swift
loml;https://www.letras.mus.br/taylor-swift/loml/;Who's gonna stop us from waltzing back into rekindled flamesIf we know the steps anyway?We embroidered the memories of the time I was awayStitching: We were just kids, babeI said: I don't mind, it takes timeI thought I was better safe than starry-eyedI felt aglow like this, never before and never sinceIf you know it in one glimpse, it's legendaryYou and I go from one kiss to getting marriedStill alivе, killing time at the cemеteryNever quite buriedIn your suit and tie, in the nick of timeYou low-down boy, you stand-up guyHoly ghost, you told me I'm the love of your lifeYou said I'm the love of your lifeAbout a million timesWho's gonna tell me the truth when you blew in with the winds of fateAnd told me I reformed youWhen your impressionist paintings of heaven turned out to be fakes?Well, you took me to hell tooAnd all at once, the ink bleedsA con man sells a fool a get-love-quick schemeBut I felt a hole like this, never before and ever sinceIf you know it in one glimpse, it's legendaryWhat we thought was for all time was momentaryStill alive, killing time at the cemeteryNever quite buriedYou cinephile in black and whiteAll those plot twists and dynamiteMister Steal-Your-Girl, then make her crySaid I'm the love of your lifeYou shit-talked me under the tableTalking rings and talking cradlesI wish I could unrecall how we almost had it allDancing phantoms on the terraceAre they second-hand embarrassedThat I can't get out of bed?'Cause something counterfeit's deadIt was legendaryIt was momentaryIt was unnecessaryShould've let it stay buriedOh, what a valiant roarWhat a bland goodbyeThe coward claimed he was a lionI'm combing through the braids of liesI'll never leave, nevermindOur field of dreams engulfed in fireYour arson's match, your somber eyesAnd I'll still see it until I dieYou're the loss of my life;447.119;Taylor Swift / Aaron Dessner
Shake It Off;https://www.letras.mus.br/taylor-swift/shake-it-off/;I stay out too lateGot nothing in my brainThat's what people say, hm, hmThat's what people say, hm, hmI go on too many datesBut I can't make them stayAt least that's what people say, hm, hmThat's what people say, hm, hmBut I keep cruisingCan't stop, won't stop movingIt's like I got this musicIn my mind, saying it's gonna be alright'Cause the players gonna play (play, play, play, play)And the haters gonna hate (hate, hate, hate, hate)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offHeartbreakers gonna break (break, break, break, break)And the fakers gonna fake (fake, fake, fake, fake)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offI never miss a beatI'm lightning on my feetAnd that's what they don't see, hm, hmThat's what they don't see, hm, hmI'm dancing on my own (dancing on my own)I make the moves up as I go (moves up as I go)And that's what they don't know, hm, hmThat's what they don't know, hm, hmBut I keep cruisingCan't stop, won't stop groovingIt's like I got this musicIn my mind, saying it's gonna be alright'Cause the players gonna play (play, play, play, play)And the haters gonna hate (hate, hate, hate, hate)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offHeartbreakers gonna break (break, break, break, break)And the fakers gonna fake (fake, fake, fake, fake)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offHey, hey, hey!Just think while you've been getting down and out about the liarsAnd the dirty, dirty cheats of the worldYou could've been getting down to this sick beatMy ex-man brought his new girlfriendAnd she's like: Oh my GodBut I'm just gonna shakeAnd to the fella over there with the hella good hairWon't you come on over, baby?We can shake, shake, shakeYeah, oh!'Cause the players gonna play (play, play, play, play)And the haters gonna hate (hate, hate, hate, hate) (haters gonna hate)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offHeartbreakers gonna break (break, break, break, break)And the fakers gonna fake (fake, fake, fake, fake)Baby, I'm just gonna shake (shake, shake, shake, shake)I shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offI, I, I shake it off, I shake it offShake it off, I shake it offI, I, I shake it off, I shake it off (you got to)I, I, I shake it off, I shake it offI, I, I shake it off, I shake it off;3.501.052;Taylor Swift / Shellback / Max Martin
So High School;https://www.letras.mus.br/taylor-swift/so-high-school/;I feel so high school every time I look at youI wanna find you in a crowd just to hide from youAnd in a blink of a crinkling eyeI'm sinking, our fingers entwinedCheeks pink in the twinkling lightsTell me 'bout the first time you saw meI'll drink what you think and I'm highFrom smoking your jokes all damn nightThe brink of a wrinkle in timeBittersweet sixteen suddenlyI'm watching American Pie with you on a Saturday nightYour friends are around, so be quietI'm trying to stifle my sighs'Cause I feel so high school every time I look at you, but look at youBa-ba-ba-ba-baAre you gonna marry, kiss, or kill me (kill me)?It's just a game, but really (really)I'm bettin' on all three (all three) for us twoGet my car door, isn't that sweet (that sweet)?Then pull me to the backsеat (backseat)No one's evеr had me (had me), not like youTruth, dare, spin bottlesYou know how to ball, I know AristotleBrand new, full throttleTouch me while your bros play Grand Theft AutoIt's true, swear, scout's honorYou knew what you wanted, and, boy, you got herBrand new, full throttleYou already know, babeI feel like laughing in the middle of practiceDo that impression you did of your dad againI'm hearing voices like a madmanAnd in a blink of a crinkling eyeI'm sinking, our fingers entwinedCheeks pink in the twinkling lightsTell me 'bout the first time you saw meI'll drink what you think and I'm highFrom smoking your jokes all damn nightThe brink of a wrinkle in timeBittersweet sixteen suddenlyI'm watching American Pie with you on a Saturday nightYour friends are around, so be quietI'm trying to stifle my sighs'Cause I feel so high school (feel so high school) every time I look at you, but look at youTruth, dare, spin bottlesYou know how to ball, I know AristotleBrand new, full throttleTouch me while your bros play Grand Theft AutoIt's true, swear, scout's honorYou knew what you wanted, and, boy, you got herBrand new, full throttleYou already know, babe (you already know, babe);299.302;Taylor Swift / Aaron Dessner
